182changeratio,28changeratio,364changeratio,91changeratio,bonus,code,cps,debt2asset,eps,epsr,name,netprofit,netprofitdate,netprofitr,per,per_d,roe,symbol,vertical,vprofitdesc
,,,,10派1,,--,,0.16,-43.13,,5200.52,03-31-2017,-42.63,,,7.1,,,
-27.96%,-2.82%,-38.88%,-21.13%,--,300020,--,44.6599,0.14,7.69,银江股份,9232.25,08-25-2018,9.4,37.81,35.526,2.76,sz300020,未分组-医疗行业,智慧城市 综合服务 智慧交通-智慧医疗
73.13%,96.04%,73.74%,80.96%,10派1转12,,-0.94,,0.68,13.33,,18368.5,04-24-2014,26.11,,,11.64,,,
-1.49%,1.19%,-17.12%,-2.58%,10派0.2,,--,,0.18,-73.53,,11121,04-19-2015,-39.46,,,5.06,,,
,,,,10派0.5,,--,,0.23,27.78,,15337.73,04-22-2016,37.92,,,5.43,,,
,,,,10派0.5,,--,,0.21,-8.7,,13865.42,04-19-2017,-9.6,,,4.59,,,
-31.97%,-10.21%,-39.56%,-18.96%,--,300021,--,57.685,0.07,77.66,大禹节水,5550.28,08-22-2018,91.63,29.125,30.458,3.91,sz300021,水产业-环保行业,节水产品销售收入-节水工程设计 节水工程施工收入
73.13%,96.04%,73.74%,80.96%,--,,0.05,,0.07,24.33,,2078.85,04-18-2014,21.54,,,4.36,,,
-6.97%,-6.51%,-18.04%,0.10%,--,,--,,0.22,195.31,,6138.79,04-14-2015,195.3,,,12.06,,,
,,,,10派1转15,,--,,0.2,-9.12,,6048.72,04-08-2016,-1.47,,,6.13,,,
,,,,--,,--,,0.16,-20.08,,9543.71,04-12-2017,57.78,,,5.6,,,
-21.65%,-9.34%,-40.77%,-4.10%,--,300022,--,82.3872,0.01,-112.92,吉峰科技,219.52,08-30-2018,-112.87,-33.872,-59.492,1.07,sz300022,农业-汽车及零件制造业,农业机械-载货汽车
73.13%,96.04%,73.74%,80.96%,--,,-0.2,,-1.08,168.56,,-38708.41,04-21-2014,168.56,,,-141.12,,,
7.14%,-5.60%,-19.68%,18.46%,--,,--,,0.04,-103.24,,1269.14,04-26-2015,-103.28,,,12.23,,,
,,,,--,,--,,0.03,-11.97,,1176.04,04-26-2016,-7.34,,,4.81,,,
,,,,--,,--,,-0.12,-480.26,,-4469.1,04-27-2017,-480.01,,,-19.62,,,
-20.76%,30.66%,-42.60%,-32.81%,--,300023,--,83.351,0.07,-52.86,宝德股份,2055.23,08-29-2018,-52.84,66.636,355.825,1.9,sz300023,租赁行业-石油行业,融资租赁-石油钻采自动化产品及服务
73.13%,96.04%,73.74%,80.96%,--,,0.01,,0.17,-238.44,,1571.48,03-10-2014,-242.16,,,4.73,,,
8.36%,36.05%,-22.16%,-17.00%,10派0.5转15,,--,,0.42,147.06,,5360.47,02-04-2015,241.11,,,8.08,,,
,,,,--,,--,,0.2,-52.38,,6285.02,03-10-2016,17.25,,,6.2,,,
,,,,--,,--,,0.11,-45,,3601.47,04-28-2017,-42.7,,,3.39,,,
-14.15%,-0.37%,-24.78%,-9.44%,--,300024,--,33.7743,0.14,27.27,机器人,21284.47,08-21-2018,20.42,58.824,54.279,3.53,sz300024,未分组-物流、运输业,交通自动化系统 工业机器人-物流与仓储自动化成套设备
73.13%,96.04%,73.74%,80.96%,10派0.5,,0.14,,0.5,-40.48,,32567,04-10-2014,30.34,,,18.47,,,
17.40%,3.74%,2.00%,11.86%,10派1送4转8,,--,,0.6,20,,39482.35,03-10-2015,21.23,,,16.72,,,
,,,,--,,--,,0.26,-56.12,,41077.36,03-10-2016,4.04,,,7.64,,,
,,,,10派0.5,,--,,0.28,5.24,,43237.79,03-23-2017,5.26,,,7.48,,,
-26.40%,2.61%,-48.02%,-12.28%,--,300025,--,73.6528,-0.07,-221.33,华星创业,-3120.55,08-30-2018,-220.68,-12.677,-8.839,-4.3,sz300025,电信行业-IT业,通讯服务业-互联网服务业
73.13%,96.04%,73.74%,80.96%,10派0.2,,-0.3,,0.42,16.67,,8900.41,03-20-2014,41.62,,,12.75,,,
0.65%,6.84%,-29.51%,8.36%,10派0.52转10,,--,,0.51,21.43,,10849.39,03-17-2015,21.9,,,13.77,,,
,,,,10派0.28,,--,,0.17,-66.67,,7498.3,04-20-2016,-30.89,,,8.69,,,
,,,,--,,--,,-0.31,-282.35,,-13344.88,04-24-2017,-277.97,,,-16.35,,,
-11.52%,-3.34%,-22.01%,-7.96%,--,300026,--,12.6399,0.11,22.22,红日药业,34551.9,08-21-2018,22.35,23.133,20.328,5.3,sz300026,医药业,中药配方颗粒
73.13%,96.04%,73.74%,80.96%,10派1转5,,0.26,,0.78,-14.29,,44701.26,03-31-2014,31.65,,,21.72,,,
20.99%,0.65%,5.76%,13.69%,10派0.6,,--,,0.6,-23.08,,53490.35,03-23-2015,19.66,,,20.37,,,
,,,,10派0.25,,--,,0.22,-63.33,,65853.22,03-28-2016,23.11,,,11.84,,,
,,,,10派0.2,,--,,0.15,-31.82,,45072.97,03-30-2017,-31.56,,,7.38,,,
-45.18%,-4.24%,-41.84%,-17.50%,--,300027,--,46.0189,0.1,-33.33,华谊兄弟,27737.11,08-24-2018,-35.54,18.067,22.268,2.84,sz300027,传媒行业-未分组-IT业,影视娱乐-其他（补充） 品牌授权及实景娱乐-互联网娱乐
73.13%,96.04%,73.74%,80.96%,10派0.999716,,-0.02,,0.73,32.73,,89666.23,03-27-2014,34.75,,,20.4,,,
-25.04%,-0.29%,-21.13%,1.91%,10派0.999166转9.99166,,--,,0.76,4.11,,97614.37,03-24-2015,8.86,,,13.67,,,
,,,,10派0.3,,--,,0.29,-61.84,,80813.4,03-28-2016,-17.21,,,8.45,,,
,,,,10派0.3,,--,,0.3,3.45,,82828.39,03-27-2017,2.49,,,8.79,,,
undefined,undefined,undefined,undefined,--,300028,--,18.8164,0.11,-273.01,金亚科技,3881.19,08-29-2018,-273.03,-1.417,-2.107,20.11,sz300028,undefined,undefined
73.13%,96.04%,73.74%,80.96%,10派0.9转3,,0.77,,0.1,-121.74,,2577.28,04-03-2014,-121.24,,,4.17,,,
NaN%,NaN%,NaN%,NaN%,--,,--,,0.04,-63,,1280.75,04-30-2015,-50.31,,,4.04,,,
,,,,--,,--,,-0.06,-265.41,,-2109.83,04-26-2016,-264.73,,,-6.05,,,
,,,,--,,--,,-0.54,788.07,,-18693.95,04-25-2017,786.04,,,-70.01,,,
-28.42%,3.75%,-41.44%,-7.51%,--,300029,--,34.1175,-0.11,-7.04,天龙光电,-2137.86,08-30-2018,-7.02,16.532,16.142,-8.75,sz300029,undefined,undefined
73.13%,96.04%,73.74%,80.96%,--,,0.2,,0.15,-122.67,,2947.32,04-25-2014,-122.66,,,5.1,,,
-2.12%,8.03%,-20.59%,14.25%,--,,--,,-1.79,-1316.08,,-35849.64,04-28-2015,-1316.35,,,-74.71,,,
,,,,--,,--,,-0.29,-84.09,,-5701.03,04-25-2016,-84.1,,,-26.58,,,
,,,,--,,--,,0.34,-217.54,,6702.19,04-18-2017,-217.56,,,30.26,,,
-26.56%,3.32%,-49.00%,-21.21%,--,300030,--,42.6266,0.04,0,阳普医疗,1279.22,08-28-2018,-3.3,148,170.605,1.33,sz300030,医疗行业-租赁行业,医疗器械-融资租赁
73.13%,96.04%,73.74%,80.96%,10派0.3,,-0.37,,0.18,-41.94,,5305.72,02-16-2014,15.04,,,7.52,,,
0.43%,7.58%,-30.84%,-2.68%,10派0.25,,--,,0.13,-27.78,,3983.52,04-26-2015,-24.92,,,5.09,,,
,,,,--,,--,,0.1,-23.08,,3047.74,03-30-2016,-23.49,,,3.27,,,
,,,,10派0.25,,--,,0.04,-60,,1115.85,04-25-2017,-63.39,,,1.17,,,
-24.26%,-16.73%,-44.80%,-16.67%,--,300031,--,27.0751,0.36,33.3,宝通科技,14233.55,08-30-2018,33.3,19.3,16.625,6.04,sz300031,未分组,传输维护服务 手机游戏运营 输送带制造
73.13%,96.04%,73.74%,80.96%,--,,0.3,,0.25,-63.98,,7358.12,03-20-2014,-27.96,,,9.13,,,
3.57%,-13.30%,-25.15%,2.93%,--,,--,,0.23,-7.17,,6829.82,04-12-2015,-7.18,,,7.96,,,
,,,,10派1,,--,,0.38,68.07,,14072.57,03-17-2016,106.05,,,7.04,,,
,,,,10派1.15,,--,,0.56,45.54,,22100.59,04-23-2017,57.05,,,8.29,,,
-73.94%,1.12%,-76.25%,-37.91%,--,300032,--,36.8225,-0.56,-298.48,金龙机电,-45045.91,08-10-2018,-295.81,-6.962,-2.645,-11.81,sz300032,电子行业-化工行业-未分组,电子元器件-硅胶塑胶橡胶制品-其他（补充）
73.13%,96.04%,73.74%,80.96%,10派1转10,,0.27,,0.4,471.43,,11656.46,03-27-2014,450.84,,,11.49,,,
-64.36%,5.29%,-67.79%,-23.30%,10派1,,--,,0.48,20,,32703.69,04-19-2015,180.56,,,16.4,,,
,,,,10派1.01356,,--,,0.19,-60.42,,13634.58,04-26-2016,-58.31,,,4.25,,,
,,,,--,,--,,-0.52,-373.68,,-41856.29,04-20-2017,-406.99,,,-9.58,,,
-33.51%,-6.48%,-42.40%,-21.72%,--,300033,--,24.3532,0.36,-32.08,同花顺,19109.62,08-21-2018,-33.28,25.437,29.288,6.31,sz300033,电信行业-IT业-商贸业-黄金行业,增值电信业务-广告业务及互联网推广服务-软件销售及维护-基金销售及黄金代理服务等其他业务
73.13%,96.04%,73.74%,80.96%,10派0.8转10,,0.76,,0.22,37.5,,6045.55,03-21-2014,175.78,,,5.19,,,
-9.08%,-2.62%,-21.89%,-3.31%,10派7.4,,--,,1.78,709.09,,95722.28,02-05-2015,1483.35,,,57.81,,,
,,,,10派9,,--,,2.25,26.4,,121157.67,02-10-2016,26.57,,,49.61,,,
,,,,10派9,,--,,1.35,-40,,72565.38,02-28-2017,-40.11,,,24.68,,,
1.73%,-0.93%,-33.19%,6.08%,--,300034,--,23.0565,0.11,20,钢研高纳,4634.54,07-20-2018,20.41,77.118,68.095,3.37,sz300034,undefined,undefined
73.13%,96.04%,73.74%,80.96%,10派1.58838,,0.01,,0.35,-15.24,,11018.87,04-11-2014,27.16,,,10.47,,,
39.11%,3.16%,-9.40%,31.03%,10派0.79536转2.9826,,--,,0.39,12.09,,12428.8,03-23-2015,12.8,,,10.77,,,
,,,,10派0.597219,,--,,0.23,-40.94,,9596.79,03-23-2016,-22.79,,,7.68,,,
,,,,10派0.7,,--,,0.14,-39.8,,5819.21,03-23-2017,-39.36,,,4.38,,,
-19.92%,-0.38%,-50.27%,-7.16%,--,300035,--,36.7432,0.1,75.72,中科电气,5062.51,08-28-2018,77.06,57.143,39.344,4.38,sz300035,电池行业-未分组,锂离子电池负极材料-其他（补充） 磁电装备
73.13%,96.04%,73.74%,80.96%,10派1,,0.03,,0.23,-42.5,,5329.03,04-25-2014,-25.6,,,6.37,,,
9.51%,3.73%,-32.56%,14.68%,10派2,,--,,0.07,-69.57,,1532.64,04-23-2015,-71.24,,,1.82,,,
,,,,10派1转10,,--,,0.1,42.86,,2271.72,03-31-2016,48.22,,,2.78,,,
,,,,10派0.2,,--,,0.09,-7.6,,4748.18,04-24-2017,109.01,,,4.37,,,
31.95%,-5.03%,17.97%,12.76%,--,300036,--,25.5214,0.09,51.72,超图软件,3949.42,08-16-2018,51.78,47.614,44.899,2.18,sz300036,IT业,软件
73.13%,96.04%,73.74%,80.96%,10派1转6,,0.64,,0.38,-17.76,,4589.44,03-31-2014,-16.2,,,7.33,,,
80.44%,-1.11%,59.97%,39.29%,10派1转10,,--,,0.3,-20,,5877.89,03-22-2015,28.07,,,8.78,,,
,,,,10派0.6,,--,,0.58,93.33,,12745.02,03-24-2016,116.83,,,11.04,,,
,,,,10派0.88,,--,,0.44,-24.14,,19626.6,03-29-2017,53.99,,,11.49,,,
-5.07%,-1.81%,-21.96%,-13.04%,--,300037,--,34.3258,0.32,-5.88,新宙邦,12068.92,07-31-2018,-4.93,28.987,30.111,4.81,sz300037,undefined,undefined
73.13%,96.04%,73.74%,80.96%,--,,0.78,,0.78,6.85,,13275.95,03-24-2014,5.81,,,10.26,,,
29.81%,2.24%,5.83%,7.42%,10派3,,--,,0.72,-7.69,,12767.19,03-22-2015,-3.83,,,7.56,,,
,,,,10派5转10,,--,,1.39,93.06,,25591.97,03-28-2016,100.45,,,12.38,,,
,,,,10派2,,--,,0.75,-46.04,,28005.38,03-27-2017,9.43,,,12.45,,,
-43.64%,-3.27%,-37.16%,-13.02%,--,300038,--,17.2135,0.31,-55.32,梅泰诺,36093.04,08-25-2018,106.21,6.474,7.877,3.59,sz300038,未分组-电信行业,需求端智能营销平台 媒体端智能营销平台 其他（补充） 数据智能应用与服务-通信产品
73.13%,96.04%,73.74%,80.96%,10派0.350174,,-1.06,,0.33,3.13,,5337.65,03-28-2014,6.07,,,5.17,,,
-22.93%,0.72%,-14.79%,7.44%,10派0.3,,--,,0.35,6.67,,5649.64,04-23-2015,5.85,,,4.69,,,
,,,,--,,--,,0.57,61.28,,10810.48,04-22-2016,91.35,,,5.28,,,
,,,,10派1.5转18,,--,,1.51,165.28,,48726.84,03-24-2017,350.74,,,7.4,,,
-24.24%,-5.80%,-33.07%,-21.96%,--,300039,--,11.8498,0.17,-5.84,上海凯宝,18313.69,08-09-2018,-5.85,19.188,20,7.48,sz300039,undefined,undefined
73.13%,96.04%,73.74%,80.96%,10派2转3,,0.44,,0.55,-9.39,,34935.17,03-26-2014,9.58,,,20.61,,,
3.60%,-1.92%,-9.24%,-3.60%,10派1,,--,,0.34,-38.83,,28164.85,03-30-2015,-19.38,,,14.25,,,
,,,,10转3,,--,,0.34,0.47,,28260.68,02-28-2016,0.34,,,13.48,,,
,,,,10派1,,--,,0.25,-25.29,,27230.47,04-19-2017,-3.65,,,11.79,,,
-29.64%,1.26%,-52.90%,-9.20%,--,300040,--,51.2513,0.15,-34.78,九洲电气,5010.9,08-21-2018,-34.58,19.345,26.301,2.65,sz300040,其他能源行业-未分组,新能源业务-直流电源系统 电气控制及自动化产品 高压变频系统 升压站 发电收入
73.13%,96.04%,73.74%,80.96%,--,,0.33,,-0.2,-766.67,,-5572.32,04-17-2014,-714.02,,,-4.58,,,
-3.79%,5.44%,-36.13%,12.16%,--,,--,,0.07,-135,,2009.89,04-21-2015,-136.07,,,1.63,,,
,,,,10派1,,--,,0.39,457.14,,13051.44,04-25-2016,549.36,,,7.62,,,
,,,,10派0.5,,--,,0.29,-25.64,,10010.56,04-23-2017,-23.3,,,5.49,,,
-9.17%,-0.86%,-24.31%,-7.78%,--,300041,--,27.7094,0.21,18.62,回天新材,9140.51,08-27-2018,26.01,34.594,30.435,4.94,sz300041,化工行业,精细化工及太阳能背膜
73.13%,96.04%,73.74%,80.96%,10派1.8,,-0.01,,0.65,23.22,,10954.98,04-24-2014,23.22,,,10.77,,,
24.21%,3.23%,2.64%,13.91%,10派1.5转10,,--,,0.47,-26.87,,8385.21,04-07-2015,-23.46,,,7.07,,,
,,,,10派1.5,,--,,0.24,-48.95,,9703.92,03-29-2016,15.73,,,6.3,,,
,,,,10派5,,--,,0.27,10.33,,11036.91,03-07-2017,13.74,,,6.43,,,
3.84%,-9.72%,-33.47%,1.34%,--,300042,--,4.0722,0.2,18.91,朗科科技,2713.8,08-25-2018,18.92,60.961,56.613,2.94,sz300042,计算机设备制造行业-租赁行业,计算机、通信和其他电子设备制造业-房屋租赁
73.13%,96.04%,73.74%,80.96%,10派1,,0,,0.15,238.29,,2006.85,03-31-2014,238.46,,,2.44,,,
42.00%,-6.00%,-9.78%,25.18%,10派1,,--,,0.18,21.04,,2428.72,04-22-2015,21.02,,,2.91,,,
,,,,10派1.6,,--,,0.33,82.95,,4443.88,04-25-2016,82.97,,,5.17,,,
,,,,10派1.6,,--,,0.42,26.46,,5618.94,04-25-2017,26.44,,,6.28,,,
-38.21%,-6.58%,-54.71%,-26.69%,--,300043,--,55.6163,0.11,-15.38,星辉娱乐,14109.44,08-07-2018,-14.32,19.722,21.398,5.42,sz300043,未分组-其他,体育业务 玩具业务-其他
73.13%,96.04%,73.74%,80.96%,10派1转12,,0.58,,0.48,-14.29,,25707.96,03-20-2014,91.48,,,16.42,,,
-15.50%,-2.73%,-38.58%,-9.44%,--,,--,,0.28,-41.67,,35193.36,04-23-2015,36.9,,,17.23,,,
,,,,10派0.6,,--,,0.37,32.14,,45802.77,04-06-2016,30.15,,,19.72,,,
,,,,10派0.3,,--,,0.18,-51.35,,23003.4,04-28-2017,-49.78,,,9.31,,,
-32.95%,-0.60%,-43.98%,-12.62%,--,300044,--,46.2102,0.11,-27.04,赛为智能,8302.01,08-30-2018,66.16,13.418,14.249,3.62,sz300044,未分组-医疗行业,互动娱乐领域 智慧城市领域-教育医疗领域
73.13%,96.04%,73.74%,80.96%,10派0.2,,0.01,,0.23,76.92,,5245.44,03-31-2014,78.2,,,7.92,,,
-8.31%,3.50%,-24.03%,7.94%,10派0.3转5,,--,,0.35,52.17,,7745.72,03-29-2015,47.67,,,11.26,,,
,,,,10派0.3,,--,,0.3,-14.29,,10081.95,03-28-2016,30.16,,,12.79,,,
,,,,10派0.5转8,,--,,0.49,63.47,,18192.03,03-31-2017,80.44,,,13.94,,,
-23.95%,6.62%,-31.37%,-20.64%,--,300045,--,16.9022,0.01,-70.03,华力创通,645.65,08-18-2018,-67.88,52.585,66.238,0.47,sz300045,undefined,undefined
73.13%,96.04%,73.74%,80.96%,10派0.3转10,,0.04,,0.18,260,,4702.11,04-21-2014,227.74,,,5.97,,,
4.00%,11.02%,-6.93%,-1.97%,--,,--,,0.06,-66.67,,3131.2,03-19-2015,-33.41,,,3.75,,,
,,,,10派0.100083,,--,,0.09,50,,5102.64,03-25-2016,62.96,,,5.55,,,
,,,,10派0.150086,,--,,0.15,63.33,,8131.71,04-20-2017,59.36,,,6.68,,,
24.42%,-6.42%,14.43%,15.35%,--,300046,--,15.0652,0.22,16.42,台基股份,4713.42,08-17-2018,74.58,37.6,30.631,5.5,sz300046,未分组,半导体 泛文化
73.13%,96.04%,73.74%,80.96%,10派4,,0.5,,0.31,9.3,,4390.26,03-19-2014,9.29,,,5.39,,,
70.14%,-2.56%,55.17%,42.48%,10派2.5,,--,,0.2,-34.53,,2873.6,04-09-2015,-34.55,,,3.62,,,
,,,,10派0.5,,--,,0.27,34.11,,3854.35,02-22-2016,34.13,,,4.89,,,
,,,,10派2转5,,--,,0.38,38.52,,5338.78,03-20-2017,38.51,,,6.55,,,
-5.22%,-4.17%,-1.08%,undefined,--,300047,--,29.2297,0.1,206.71,天源迪科,3836.24,08-13-2018,242.18,31.19,28.196,1.35,sz300047,商贸业-电信行业-金融业-其他-市政机关行业,网络产品销售-电信行业-金融行业-其他行业-政府行业
73.13%,96.04%,73.74%,80.96%,10派0.197811,,-0.4,,0.19,-51.28,,6120.25,03-27-2014,-49.91,,,5.18,,,
29.61%,-0.22%,34.14%,NaN%,10派0.199966,,--,,0.2,5.26,,6305.01,03-31-2015,3.02,,,5.01,,,
,,,,10派0.350217,,--,,0.34,70,,11490.37,04-21-2016,82.24,,,7.17,,,
,,,,10派0.400654,,--,,0.42,23.53,,15593.29,03-28-2017,35.71,,,7.01,,,
-26.31%,1.16%,-51.95%,-1.57%,--,300048,--,42.1123,0.01,-64.25,合康新能,1601.11,08-29-2018,-63.6,43.667,73.596,0.64,sz300048,环保行业-电力行业-其他-冶金业-其他能源行业-石油行业-未分组-建材行业,节能环保-电力-其他-冶金(钢铁)-新能源-石油石化-矿业-水泥(建材)
73.13%,96.04%,73.74%,80.96%,10派0.5,,0.02,,0.13,0,,4370.93,03-27-2014,-1.7,,,2.9,,,
0.77%,5.33%,-34.84%,21.58%,10派0.5转10,,--,,0.15,15.38,,5192.43,04-26-2015,18.79,,,3.37,,,
,,,,10派0.5转4,,--,,0.23,53.33,,17895.08,04-19-2016,244.64,,,7.47,,,
,,,,10派0.2,,--,,0.06,-73.91,,6760.33,04-25-2017,-62.22,,,2.74,,,
-24.45%,4.05%,-37.47%,-24.45%,--,300049,--,26.4582,0.18,12.5,福瑞股份,4822.12,08-30-2018,21.71,37.074,32.723,3.17,sz300049,undefined,undefined
73.13%,96.04%,73.74%,80.96%,10派2转10,,0.39,,0.7,1650,,8723.53,04-25-2014,1678.36,,,11.26,,,
3.31%,8.34%,-15.21%,-6.68%,10派1,,--,,0.35,-50,,9168.52,04-06-2015,5.1,,,8.29,,,
,,,,10派1,,--,,0.46,31.31,,12104.79,04-01-2016,32.03,,,8.65,,,
,,,,10派1,,--,,0.27,-41.25,,7186.69,04-28-2017,-40.63,,,5.16,,,
-37.80%,1.13%,-48.25%,-14.76%,--,300050,--,21.6731,0.05,-66.67,世纪鼎利,2961.15,08-28-2018,-59.3,25.571,43.694,1.06,sz300050,电信行业-未分组,通信及物联网行业-职业教育行业 其他（补充）
73.13%,96.04%,73.74%,80.96%,10派0.5,,0.54,,0.2,-162.5,,4385.82,04-03-2014,-163.35,,,3.06,,,
-14.94%,5.30%,-29.82%,5.29%,10派1.5转10,,--,,0.46,130,,11443.36,04-01-2015,160.92,,,5.7,,,
,,,,10派0.5,,--,,0.24,-47.83,,11993.82,03-07-2016,4.81,,,5.71,,,
,,,,10派0.2,,--,,0.21,-12.5,,11209.41,04-25-2017,-6.54,,,4.65,,,
-35.00%,-9.91%,-43.59%,-23.98%,--,300051,--,27.8908,0.04,-50,三五互联,1557.73,08-20-2018,-46.57,38.389,47.296,1.58,sz300051,商贸业,商业
73.13%,96.04%,73.74%,80.96%,10派0.15,,0.08,,0.02,-50,,556.05,04-10-2014,-59.58,,,1.11,,,
-11.11%,-6.19%,-23.51%,-6.10%,--,,--,,-0.24,-1300,,-7974.52,04-02-2015,-1534.13,,,-14.16,,,
,,,,--,,--,,0.16,-166.67,,5688.85,04-01-2016,-171.34,,,6.38,,,
,,,,--,,--,,0.18,12.5,,6732.6,04-18-2017,18.35,,,7.09,,,
-34.48%,-1.59%,-40.79%,-18.53%,--,300052,--,30.9369,0.11,120,中青宝,2750.87,08-13-2018,128.47,52.053,39.262,3.6,sz300052,未分组,网络游戏分部 科技文旅分部 云服务分部
73.13%,96.04%,73.74%,80.96%,--,,-0.1,,-0.08,-140,,-2203.59,04-22-2014,-143.18,,,-2.37,,,
-10.40%,2.47%,-19.71%,0.63%,10派0.2,,--,,0.25,-412.5,,6520.28,03-25-2015,-395.89,,,6.82,,,
,,,,--,,--,,-0.19,-176,,-4972.93,03-23-2016,-176.27,,,-5.11,,,
,,,,10派0.2,,--,,0.19,-200,,5029.67,03-21-2017,-201.14,,,4.4,,,
-27.74%,0.29%,-35.99%,-18.21%,--,300053,--,17.426,0.09,0.91,欧比特,5900.31,08-30-2018,7.35,53.711,54.9,2.25,sz300053,电子行业-未分组,安防事业部-测绘事业部
73.13%,96.04%,73.74%,80.96%,10派0.25,,0.18,,0.13,-10.71,,2506.46,04-24-2014,-10.53,,,3.88,,,
-1.19%,4.43%,-13.20%,1.03%,10派0.3转15,,--,,0.27,112,,5783.37,04-23-2015,130.74,,,5.71,,,
,,,,10派0.15,,--,,0.15,-45.28,,8458.95,04-26-2016,46.26,,,6.31,,,
,,,,10派0.177504,,--,,0.19,33.79,,12087.4,04-21-2017,42.89,,,5.85,,,
-37.13%,-12.76%,-29.26%,-27.08%,--,300054,--,5.987,0.14,-12.5,鼎龙股份,13144.79,08-16-2018,-15.37,20.314,21.87,3.6,sz300054,未分组-电子行业,其他（补充） 光电新材料行业-集成电路芯片设计与制程工艺材料行业
73.13%,96.04%,73.74%,80.96%,10派0.5,,0.3,,0.31,14.81,,13438.56,03-06-2014,80.05,,,12.18,,,
-14.03%,-9.16%,-4.07%,-9.93%,10派0.5,,0.26,,0.36,16.13,,15883.57,02-23-2015,18.19,,,12.76,,,
,,,,10派1转8,,0.61,,0.51,41.67,,24010.18,04-12-2016,51.16,,,12.85,,,
,,,,10派0.1,,--,,0.35,-31.37,,33634.11,04-23-2017,40.08,,,10.02,,,
-42.04%,-3.09%,-46.72%,-20.23%,--,300055,--,22.4673,0.18,-23.77,万邦达,15677.89,08-17-2018,-23.78,27.507,32.76,2.67,sz300055,未分组,金融投资分部 垃圾处理服务 保温管道制造
73.13%,96.04%,73.74%,80.96%,10派0.6转20,,-0.18,,0.82,33.34,,19185.78,03-06-2014,36.51,,,9.02,,,
-20.74%,0.91%,-27.75%,-1.47%,10派0.15,,--,,0.39,-51.84,,29001.69,04-27-2015,51.16,,,10.56,,,
,,,,10派0.15,,--,,0.32,-19.11,,26224.83,04-20-2016,-9.57,,,5.72,,,
,,,,10派0.7,,--,,0.35,10.62,,30537.36,04-25-2017,16.44,,,5.41,,,
-19.09%,-5.18%,-38.59%,-16.22%,--,300056,--,48.6787,-0.09,-81.63,三维丝,-3302.75,08-29-2018,-82.35,51.636,31.608,-2.39,sz300056,环保行业,环保工程
73.13%,96.04%,73.74%,80.96%,10派1,,0.5,,0.39,-26.42,,5865.25,01-31-2014,18.4,,,13.27,,,
10.64%,-1.27%,-16.72%,3.49%,10派0.6,,--,,0.21,-46.15,,6887.32,03-23-2015,17.43,,,11.49,,,
,,,,--,,--,,0.6,185.71,,22061.48,04-29-2016,220.32,,,16.78,,,
,,,,--,,--,,0.11,-81.67,,4210.86,04-03-2017,-80.91,,,3.1,,,
-35.48%,-0.53%,-52.03%,-23.23%,--,300057,--,49.5448,0.09,-12.78,万顺股份,4113.03,08-25-2018,-12.71,31.198,33.731,1.71,sz300057,未分组-商贸业-包装行业-其他,功能性薄膜业务 铝加工业务-贸易业务-纸包装材料业务-其他业务
73.13%,96.04%,73.74%,80.96%,10派0.9,,0.36,,0.43,24.38,,17955.34,04-15-2014,24.38,,,10.7,,,
-11.77%,3.57%,-34.95%,-5.17%,10派0.3,,--,,0.15,-64.77,,6459.59,03-31-2015,-64.02,,,3.22,,,
,,,,10派0.4,,--,,0.17,14.88,,7569.34,04-08-2016,17.18,,,3.3,,,
,,,,10派0.5,,--,,0.18,5.17,,7961.97,04-10-2017,5.19,,,3.38,,,
-42.63%,-8.59%,-39.84%,-20.63%,--,300058,--,62.199,0.14,0,蓝色光标,31492.32,08-10-2018,4.84,46.8,43.054,5.11,sz300058,undefined,undefined
73.13%,96.04%,73.74%,80.96%,10派1.49751转9.98338,,0.21,,0.75,-27.88,,71188.39,03-20-2014,62.14,,,16.96,,,
-21.55%,-4.82%,-18.42%,-1.96%,10派0.5,,--,,0.04,-94.67,,6770.22,04-14-2015,-90.49,,,1.63,,,
,,,,10派0.653531,,--,,0.33,725,,63967.55,04-27-2016,844.84,,,13.09,,,
,,,,10派0.206224,,--,,0.1,-69.7,,22227.85,04-24-2017,-65.25,,,3.35,,,
-20.48%,-15.82%,-13.99%,-21.34%,--,300059,--,66.1193,0.11,78.16,东方财富,55861.19,08-03-2018,114.77,70.094,50.168,3.74,sz300059,服务业-IT业,金融电子商务服务业务 金融数据服务业务-互联网广告服务业务
73.13%,96.04%,73.74%,80.96%,10派0.6送2转2,,1.95,,0.14,1270,,16572.38,02-14-2014,3213.59,,,9.38,,,
8.74%,-12.35%,16.63%,-2.84%,10派1转8,,--,,1.09,695.4,,184857.12,03-19-2015,1015.45,,,66.42,,,
,,,,10派0.4转2,,--,,0.21,-81.1,,71376.88,03-06-2016,-61.39,,,6.6,,,
,,,,10派0.2转2,,--,,0.15,-27.73,,63690.16,03-17-2017,-10.77,,,4.86,,,
-48.40%,-7.15%,-53.53%,-23.19%,--,300061,--,18.2719,0.19,-9.52,康旗股份,9992.41,08-30-2018,-8.19,11.158,11.557,2.85,sz300061,商贸业-IT业,眼镜镜片销售以及成镜加工等业务-商品邮购分期、电视、电话销售、数据分发、互联网精准导流等业务
73.13%,96.04%,73.74%,80.96%,10派0.22转6,,0.3,,0.24,9.48,,3672.64,04-24-2014,75.19,,,8.92,,,
